Query,Clicks,Impressions,CTR(%),AvgPosition,Bucket
is propstream worth it,0,434,0,9.8,striking-distance
wholesail login,1,136,0.74,5.7,striking-distance
propstream,0,36,0,28.4,
propstream reviews,0,22,0,18.6,
propstream pricing,0,15,0,31.9,
freedomsoft reviews,0,12,0,19.1,
freedomsoft price,0,10,0,34.9,
freedomsoft pricing,0,10,0,26.6,
freedomsoft review,0,10,0,16.7,
propstream software,0,10,0,27.8,
ai wholesale,0,9,0,67.6,
reikit,0,9,0,27.4,
roofstock review,0,9,0,51.1,
batchleads,0,8,0,30.8,
propstream review,0,8,0,21.5,
delinquent tax properties,0,7,0,8.3,
what is propstream,0,7,0,29.3,
real estate wholesalers jacksonville fl,0,6,0,31.3,
rentometer alternative,0,6,0,42.5,
tax lien properties,1,5,20,8.2,
average real estate wholesale deal in corpus christi tx,0,5,0,6,
average real estate wholesale deal in san antonio tx,0,5,0,9.8,
propstream free trial,0,5,0,41.2,
wholesale real estate jacksonville fl,0,5,0,25.6,
absentee owner property management florida,0,4,0,38.8,
average real estate wholesale deal in plano tx,0,4,0,6.3,
batchleads reviews,0,4,0,21,
foreclosures bismarck nd,0,4,0,31.8,
jefferson city mo apartment cap rate,0,4,0,6.8,
propstream pricing 2026,0,4,0,9.8,
real estate wholesalers san antonio,0,4,0,31.8,
rentometer vs,0,4,0,22.8,
"wholesale real estate brokerage company st. petersburg, fl",0,4,0,40.5,
batch lead,0,3,0,38,
brrrr method real estate greenville sc,0,3,0,2.3,defending
brrrr method real estate greenville sc guide,0,3,0,2,defending
county delinquent tax roll,0,3,0,9.3,
delinquent property taxes,0,3,0,9,
delinquent tax roll,0,3,0,10,
delinquent tax roll property,0,3,0,11.7,
freedomsoft,0,3,0,32.3,
freedomsoft pricing 2026,0,3,0,8,
fsbo,0,3,0,27.7,
investment property bismarck nd,0,3,0,58.3,
mashvisor review,0,3,0,19,
"phoenix real estate market, tucson home values",0,3,0,51.3,
wholesale realty jacksonville fl,0,3,0,22.3,
ai wholesale real estate,0,2,0,13.5,
average real estate wholesale deal in fort worth tx,0,2,0,10,
bacthleads,0,2,0,30.5,
batch skip tracing reviews,0,2,0,26,
buy tax lien,0,2,0,7,
chesapeake delinquent property taxes,0,2,0,8,
chesapeake delinquent tax roll,0,2,0,11,
cifsbo,0,2,0,71,
dealcheck pricing 2026,0,2,0,11,
dealcheck review,0,2,0,35.5,
delinquent property,0,2,0,6.5,
delinquent tax,0,2,0,7.5,
delinquent tax roll properties,0,2,0,11,
delinquent tax roll property near me,0,2,0,10,
foreclosure,0,2,0,58,
foreclosure homes in anaheim ca,0,2,0,56,
foreclosures rapid city,0,2,0,39,
freedom soft,0,2,0,36.5,
greenville county sc delinquent tax sale,0,2,0,35,
houses in probate,0,2,0,36.5,
investor fuse,0,2,0,19.5,
jacksonville wholesale properties,0,2,0,33.5,
jacksonville wholesale real estate,0,2,0,26,
privy real estate,0,2,0,36.5,
privy real estate free trial,0,2,0,14.5,
probate properties,0,2,0,4,
probate real estate boise,0,2,0,13,
probate sales near me,0,2,0,11,
propstream free,0,2,0,41.5,
propstream vs dealmachine,0,2,0,47,
"real estate wholesale deals tampa bay, fl",0,2,0,45,
real estate wholesalers in jacksonville fl,0,2,0,25.5,
rental market,0,2,0,28.5,
rental property investment bismarck nd,0,2,0,14.5,
scottsdale commercial real estate market,0,2,0,91.5,
stessa review,0,2,0,32,
tax auctions,0,2,0,9.5,
tax delinquent properties,0,2,0,6,
tax lien,0,2,0,16.5,
tax lien certificates,0,2,0,11.5,
tax liens for sale,0,2,0,11.5,
tax sale property,0,2,0,10.5,
taxauction,0,2,0,12,
taxes homes for sale,0,2,0,9,
taxes liens,0,2,0,12,
top real estate wholesalers in jacksonville,0,2,0,36.5,
wholesale houses,0,2,0,12,
wholesale properties,0,2,0,12,
wholesale real estate ai,0,2,0,33,
"wholesale real estate brokerage st. petersburg, fl",0,2,0,13.5,
tax delinquent real estate,1,1,100,11,
"""real estate brokerage relationships act"" rcw 18.86",0,1,0,9,
absentee owner,0,1,0,13,
ai for wholesaling real estate,0,1,0,26,
anchorage foreclosures,0,1,0,66,
assignment contract real estate,0,1,0,87,
assignment of contract,0,1,0,89,
average rent in vancouver wa,0,1,0,48,
avoid foreclosure arvada,0,1,0,30,
avoid foreclosure kc,0,1,0,77,
avoid foreclosure sell today jacksonville,0,1,0,67,
avoid foreclosure thornton,0,1,0,40,
back taxes land for sale,0,1,0,9,
bank owned homes bismarck nd,0,1,0,69,
batch leads pricing,0,1,0,26,
batch leads skip tracing,0,1,0,44,
batch leads.com,0,1,0,43,
batchleads price,0,1,0,26,
batchleads pricing,0,1,0,26,
batchleads review,0,1,0,18,
batchleads.,0,1,0,28,
bathleads,0,1,0,31,
boise inherited property,0,1,0,13,
brrrr loans milwaukee,0,1,0,29,
cash flow,0,1,0,6,
cedar rapids owner financed properties for sale,0,1,0,44,
comparable sale,0,1,0,96,
comparable sales,0,1,0,67,
comparable sales real estate,0,1,0,73,
cost of living phoenix vs tucson,0,1,0,90,
county delinquent tax properties,0,1,0,10,
cranston ri foreclosures,0,1,0,26,
dealmachine vs propstream,0,1,0,44,
deeply discounted properties tucson,0,1,0,9,
delinquent property tax,0,1,0,8,
delinquent property tax loans,0,1,0,12,
delinquent tax properties for sale near me,0,1,0,12,
delinquent tax roll for property,0,1,0,11,
delinquent tax rolls for properties,0,1,0,9,
delinquent taxes property,0,1,0,12,
detroit wholesale real estate,0,1,0,67,
earnest fund,0,1,0,80,
earnest money,0,1,0,84,
expired listings,0,1,0,4,
flipping houses in san antonio texas,0,1,0,47,
for sale by owner websites rhode island,0,1,0,50,
foreclosed homes rapid city sd,0,1,0,52,
foreclosure homes in gulfport ms,0,1,0,29,
foreclosure rapid city sd,0,1,0,39,
foreclosures missoula mt,0,1,0,62,
foreclosures rancho cucamonga,0,1,0,54,
foreclosures rapid city sd,0,1,0,35,
fresno vs sacramento,0,1,0,44,
fsbo cincinnati,0,1,0,17,
fsbo ky,0,1,0,30,
fsbo mn,0,1,0,18,
fsbo nashville tn,0,1,0,27,
get privy,0,1,0,46,
greenville county tax sale,0,1,0,71,
greenville tax sale,0,1,0,29,
homes in probate for sale,0,1,0,4,
houses for sale taxes,0,1,0,10,
how much is propstream per month,0,1,0,12,
how to get a list of properties behind on taxes,0,1,0,11,
how to sell your rental property roanoke va,0,1,0,69,
inherited home in boise,0,1,0,30,
investorfuse pricing,0,1,0,47,
kenosha county tax delinquent properties sale,0,1,0,10,
lien tax,0,1,0,10,
mashvisor,0,1,0,41,
mashvisor reviews,0,1,0,18,
modesto home equity,0,1,0,47,
oakland investment property,0,1,0,76,
oklahoma real estate wholesaling laws,0,1,0,33,
omaha house flipping companies,0,1,0,43,
overdue property tax,0,1,0,6,
overland park code enforcement,0,1,0,12,
palm beach delinquent property taxes,0,1,0,41,
popstream,0,1,0,28,
pre-foreclosure help chattanooga,0,1,0,13,
privy mls,0,1,0,27,
privy real estate app,0,1,0,43,
probate houses in saint louis missouri,0,1,0,15,
probate property list,0,1,0,4,
probate real estate manchester nh,0,1,0,13,
prop stream pricing,0,1,0,28,
properties delinquent on taxes,0,1,0,11,
properties in probate for sale,0,1,0,10,
property tax delinquent,0,1,0,7,
property tax foreclosure,0,1,0,10,
property vacant,0,1,0,10,
propsteam,0,1,0,28,
propstream canada,0,1,0,43,
propstream cost,0,1,0,35,
propstream pricing 99 per month,0,1,0,12,
propstream pricing and features 2026,0,1,0,10,
propstream pricing monthly 2026,0,1,0,10,
propstream pricing per month,0,1,0,12,
propstream referral code,0,1,0,28,
propstream review 2026,0,1,0,10,
propstream skip tracing reviews,0,1,0,24,
propstream trial,0,1,0,41,
public tax auction,0,1,0,9,
rapid city foreclosures,0,1,0,50,
real estate contract assignment,0,1,0,66,
real estate inheritance boise,0,1,0,29,
real estate wholesalers in kansas city,0,1,0,21,
real estate wholesalers in maryland,0,1,0,49,
real estate wholesaling in maryland,0,1,0,47,
real estate wholesaling in pennsylvania,0,1,0,38,
real estate wholesaling laws in washington state,0,1,0,12,
realeigh vs charlotte real estate investing,0,1,0,10,
roofstock reviews,0,1,0,52,
sacramento foreclosure rates,0,1,0,52,
sell inherited house santa fe,0,1,0,14,
sell inherited house santa fe nm,0,1,0,20,
sell mortgage note allentown,0,1,0,41,
"sell your rental property roanoke, va",0,1,0,68,
stessa reviews,0,1,0,26,
tax auction,0,1,0,5,
tax deed,0,1,0,6,
tax deed auction,0,1,0,9,
tax defaulted property,0,1,0,12,
tax delinquent,0,1,0,11,
tax foreclosure,0,1,0,5,
tax foreclosure auctions,0,1,0,8,
tax lien foreclosure properties,0,1,0,7,
tax lien in san jose,0,1,0,29,
tax sale properties list near me,0,1,0,9,
unpaid property taxes,0,1,0,4,
warwick ri real estate blog,0,1,0,25,
wholesale properties baton rouge louisiana,0,1,0,12,
wholesale properties idaho falls,0,1,0,6,
wholesale properties in columbia sc,0,1,0,27,
wholesale properties in idaho falls,0,1,0,5,
wholesale properties lexington ky,0,1,0,8,
wholesale properties marietta georgia,0,1,0,41,
wholesale real estate austin tx,0,1,0,17,
"wholesale real estate brokerage tampa bay, fl",0,1,0,86,
wholesale real estate charlotte,0,1,0,21,
wholesale real estate fort worth,0,1,0,89,
wholesale real estate listings,0,1,0,12,
wholesale real estate maryland,0,1,0,66,
x leads reviews,0,1,0,33,
xleads review,0,1,0,44,
